"muni10_id";"cd_geocodm";"id_ibge";"id_snis";"ID_SNIS2";"ID_IBGE2";"ID_SNIS3";"MUNICIP1";"MUNICIP2";"UF";"REGIAO";"CENTRX";"CENTRY";"RENDAPIT";"GINI";"PIB";"IDH";"ag001";"ag020";"ag022";"ge012";"CONSUMO1";"DOMICIL";"REDE";"PROPREDE"
"2272";"3548807";"3548807";"354880";"354880";3548807;354880;"SO CAETANO DO SUL";"So Caetano do Sul";"SP";3;-46,5661;-23,6261;2008,98;0,55;6694384,16;0,92;149263;9666,74;56873;149263;64,76;50492;50472;0,999603898
"794";"4214904";"4214904";"421490";"421490";4214904;421490;"RIO FORTUNA";"Rio Fortuna";"SC";4;-49,1907;-28,0932;1570,54;0,56;39035,65;0,82;1774;58,94;501;4446;13,26;1312;412;0,31402439
"1515";"3303302";"3303302";"330330";"330330";3303302;330330;"NITERI";"Niteri";"RJ";3;-43,1159;-22,952;1951,11;0,6;5831065,65;0,89;487562;31499,85;154431;487562;64,61;169237;164768;0,973593245
"1081";"3205309";"3205309";"320530";"320530";3205309;320530;"VITRIA";"Vitria";"ES";3;-28,8429;-20,4584;1820,97;0,61;9270129,35;0,86;327801;19825,98;108174;327801;60,48;108515;107715;0,992627747
"2255";"3547304";"3547304";"354730";"354730";3547304;354730;"SANTANA DE PARNABA";"Santana de Parnaba";"SP";3;-46,9168;-23,4495;1798,5;0,69;1085714,34;0,85;102006;6207,2;30583;108813;57,04;31610;28728;0,908826321
"664";"4205407";"4205407";"420540";"420540";4205407;420540;"FLORIANPOLIS";"Florianpolis";"SC";4;-48,3564;-27,4875;1770,29;0,55;4283628,42;0,88;413263;18464,15;156279;421240;43,83;147437;137984;0,935884479
"1134";"3144805";"3144805";"314480";"314480";3144805;314480;"NOVA LIMA";"Nova Lima";"MG";3;-43,9039;-20,0741;1709,89;0,69;1282767,53;0,82;79232;4185,16;25012;80998;51,67;24203;22436;0,926992522
"1194";"4314902";"4314902";"431490";"431490";4314902;431490;"PORTO ALEGRE";"Porto Alegre";"RS";4;-51,1651;-30,0954;1722,37;0,61;15944201,49;0,87;1409351;81506;518953;1409351;57,83;508456;505149;0,993495996
"605";"5300108";"5300108";"530010";"530010";5300108;530010;"BRASLIA";"Braslia";"DF";5;-47,7974;-15,7807;1665,42;0,64;43521629,02;0,84;2556024;142390;857488;2570160;55,4;774021;736148;0,951069803
"2269";"3548500";"3548500";"354850";"354850";3548500;354850;"SANTOS";"Santos";"SP";3;-46,2915;-23,8688;1651,82;0,56;5510271,61;0,87;419400;33000,1;174904;419400;78,68;144600;143915;0,995262794
