ID_IBGE;ID_SNIS;MUNICIP1;MUNICIP2;UF;REGIAO;CENTRX;CENTRY;RENDAPITA;GINI;PIB;IDH;AG001;AG020;AG022;GE012;CONSUMO1;CONSUMO2;REDE;PROPREDE
1100015;110001;ALTA FLORESTA D'OESTE;Alta Floresta D'Oeste;RO;1;-62,38932;-13,01131815; 467,72;0,5893;1,672125e+05;0,715;    9184;    99,00;    602;   24392;4,058708e+00; 10,77961700;   1774;0,244016506
1100023;110002;ARIQUEMES;Ariquemes;RO;1;-62,95726; -9,95189001; 672,87;0,5496;6,131033e+05;0,752;   35968;  1145,40;   8020;   90353;1,267694e+01; 31,84497300;   9576;0,352499448
1100031;110003;CABIXI;Cabixi;RO;1;-60,63981;-13,47487873; 446,58;0,5166;4,168684e+04;0,705;    1651;    27,30;    358;    6313;4,324410e+00; 16,53543300;    474;0,240000000
1100049;110004;CACOAL;Cacoal;RO;1;-61,32473;-11,30128735; 718,79;0,5890;5,828044e+05;0,755;   61921;  1828,99;   9769;   78574;2,327729e+01; 29,53747500;  18428;0,761015899
1100056;110005;CEREJEIRAS;Cerejeiras;RO;1;-61,26095;-13,20356161; 553,47;0,5147;8,688525e+04;0,751;    8238;   249,30;   1923;   17029;1,463973e+01; 30,26220000;   1816;0,339566193
1100064;110006;COLORADO DO OESTE;Colorado do Oeste;RO;1;-60,55024;-13,15915325; 507,70;0,5154;1,091150e+05;0,739;   13435;   515,80;   3593;   18591;2,774461e+01; 38,39225900;   3617;0,606981037
1100072;110007;CORUMBIARA;Corumbiara;RO;1;-61,09165;-12,92662942; 401,70;0,4852;5,844788e+04;0,668;    1268;    17,70;    204;    8783;2,015257e+00; 13,95899100;    344;0,129860325
1100080;110008;COSTA MARQUES;Costa Marques;RO;1;-64,05877;-12,14725010; 352,67;0,5239;4,973680e+04;0,693;    2283;    74,80;    469;   13678;5,468636e+00; 32,76390700;    609;0,164772727
1100098;110009;ESPIGO D'OESTE;Espigo D'Oeste;RO;1;-60,78483;-11,35134222; 572,48;0,5399;1,532769e+05;0,738;    9177;   342,70;   2160;   28729;1,192871e+01; 37,34335800;   2385;0,274674652
1100106;110010;GUAJAR-MIRIM;Guajar-Mirim;RO;1;-64,53752;-11,30567245; 475,62;0,5586;2,347180e+05;0,743;   18365;   435,60;   3606;   41656;1,045708e+01; 23,71903100;   4780;0,447397978
1100114;110011;JARU;Jaru;RO;1;-62,58487;-10,59244806; 557,06;0,5081;3,909340e+05;0,729;   17350;   598,20;   3978;   52005;1,150274e+01; 34,47838600;   3910;0,245757385
1100122;110012;JI-PARAN;Ji-Paran;RO;1;-61,75725;-10,46221934; 710,25;0,5449;8,742686e+05;0,753;   64995;  2372,70;  15490;  116610;2,034731e+01; 36,50588500;  16502;0,463969410
1100130;110013;MACHADINHO D'OESTE;Machadinho D'Oeste;RO;1;-62,01038; -9,20409094; 395,12;0,5596;2,227427e+05;0,691;    9809;    13,30;   1453;   31135;4,271720e-01;  1,35589800;   2895;0,316255189
1100148;110014;NOVA BRASILNDIA D'OESTE;Nova Brasilndia D'Oeste;RO;1;-62,28024;-11,64311901; 489,27;0,5688;7,494038e+04;0,689;    7415;    79,10;    855;   19874;3,980074e+00; 10,66756600;   1674;0,282961460
1100155;110015;OURO PRETO DO OESTE;Ouro Preto do Oeste;RO;1;-62,25217;-10,83419259; 563,31;0,4947;2,072093e+05;0,727;   22428;   782,50;   5392;   37928;2,063120e+01; 34,88942400;   5408;0,464126330
1100189;110018;PIMENTA BUENO;Pimenta Bueno;RO;1;-60,83039;-11,89446885; 720,94;0,5500;2,272052e+05;0,754;   30085;  1035,20;   7135;   33822;3,060730e+01; 34,40917400;   7079;0,705290425
1100205;110020;PORTO VELHO;Porto Velho;RO;1;-64,30670; -9,15340476; 881,25;0,5745;2,942124e+06;0,763;  140278;  4608,70;  26983;  428527;1,075475e+01; 32,85404700;  43954;0,376115623
1100254;110025;PRESIDENTE MDICI;Presidente Mdici;RO;1;-61,87795;-11,16627397; 517,83;0,5281;1,100837e+05;0,707;   10088;   386,30;   2346;   22319;1,730812e+01; 38,29302100;   2354;0,344051447
1100262;110026;RIO CRESPO;Rio Crespo;RO;1;-62,79007; -9,64521156; 419,26;0,5783;1,927197e+04;0,712;     502;     0,70;      2;    3316;2,110980e-01;  1,39442200;     81;0,081243731
