"ID_IBGE";"ID_SNIS";"ID_IBGE_N";"ID_SNIS_N";"MUNICIP1";"MUNICIP2";"UF";"REGIAO";"CENTRX";"CENTRY";"RENDAPITA";"GINI";"PIB";"IDH";"AG001";"AG020";"AG022";"GE012";"CONSUMO1";"CONSUMO2"
"1100015";"110001";1100015;110001;"ALTA FLORESTA D'OESTE";"Alta Floresta D'Oeste";"RO";1;-62,3893208092056;-13,0113181509508;467,72;0,5893;167212,462;0,715;9184;99;602;24392;4,058708;10,779617
"1100023";"110002";1100023;110002;"ARIQUEMES";"Ariquemes";"RO";1;-62,9572552229538;-9,95189000693569;672,87;0,5496;613103,329;0,752;35968;1145,4;8020;90353;12,676945;31,844973
"1100031";"110003";1100031;110003;"CABIXI";"Cabixi";"RO";1;-60,6398063058763;-13,4748787264366;446,58;0,5166;41686,839;0,705;1651;27,3;358;6313;4,32441;16,535433
"1100049";"110004";1100049;110004;"CACOAL";"Cacoal";"RO";1;-61,3247287399403;-11,3012873519333;718,79;0,589;582804,409;0,755;61921;1828,99;9769;78574;23,277293;29,537475
"1100056";"110005";1100056;110005;"CEREJEIRAS";"Cerejeiras";"RO";1;-61,2609495576647;-13,2035616131888;553,47;0,5147;86885,246;0,751;8238;249,3;1923;17029;14,639732;30,2622
"1100064";"110006";1100064;110006;"COLORADO DO OESTE";"Colorado do Oeste";"RO";1;-60,5502442424762;-13,1591532483728;507,7;0,5154;109114,995;0,739;13435;515,8;3593;18591;27,744608;38,392259
"1100072";"110007";1100072;110007;"CORUMBIARA";"Corumbiara";"RO";1;-61,0916464572225;-12,9266294199953;401,7;0,4852;58447,881;0,668;1268;17,7;204;8783;2,015257;13,958991
"1100080";"110008";1100080;110008;"COSTA MARQUES";"Costa Marques";"RO";1;-64,0587717432643;-12,1472501025552;352,67;0,5239;49736,803;0,693;2283;74,8;469;13678;5,468636;32,763907
"1100098";"110009";1100098;110009;"ESPIGO D'OESTE";"Espigo D'Oeste";"RO";1;-60,7848306255898;-11,3513422156001;572,48;0,5399;153276,928;0,738;9177;342,7;2160;28729;11,928713;37,343358
"1100106";"110010";1100106;110010;"GUAJAR-MIRIM";"Guajar-Mirim";"RO";1;-64,5375223461946;-11,3056724463255;475,62;0,5586;234718;0,743;18365;435,6;3606;41656;10,457077;23,719031
"1100114";"110011";1100114;110011;"JARU";"Jaru";"RO";1;-62,584865579538;-10,5924480642662;557,06;0,5081;390933,965;0,729;17350;598,2;3978;52005;11,50274;34,478386
"1100122";"110012";1100122;110012;"JI-PARAN";"Ji-Paran";"RO";1;-61,7572495797468;-10,4622193420244;710,25;0,5449;874268,621;0,753;64995;2372,7;15490;116610;20,347312;36,505885
"1100130";"110013";1100130;110013;"MACHADINHO D'OESTE";"Machadinho D'Oeste";"RO";1;-62,010377095739;-9,20409093846481;395,12;0,5596;222742,666;0,691;9809;13,3;1453;31135;0,427172;1,355898
"1100148";"110014";1100148;110014;"NOVA BRASILNDIA D'OESTE";"Nova Brasilndia D'Oeste";"RO";1;-62,2802379255106;-11,6431190149178;489,27;0,5688;74940,378;0,689;7415;79,1;855;19874;3,980074;10,667566
"1100155";"110015";1100155;110015;"OURO PRETO DO OESTE";"Ouro Preto do Oeste";"RO";1;-62,2521659773252;-10,8341925918382;563,31;0,4947;207209,334;0,727;22428;782,5;5392;37928;20,631196;34,889424
"1100189";"110018";1100189;110018;"PIMENTA BUENO";"Pimenta Bueno";"RO";1;-60,830387943674;-11,8944688536011;720,94;0,55;227205,171;0,754;30085;1035,2;7135;33822;30,607297;34,409174
"1100205";"110020";1100205;110020;"PORTO VELHO";"Porto Velho";"RO";1;-64,306698510059;-9,15340476219234;881,25;0,5745;2942123,545;0,763;140278;4608,7;26983;428527;10,754748;32,854047
"1100254";"110025";1100254;110025;"PRESIDENTE MDICI";"Presidente Mdici";"RO";1;-61,8779528163707;-11,1662739691244;517,83;0,5281;110083,705;0,707;10088;386,3;2346;22319;17,308123;38,293021
"1100262";"110026";1100262;110026;"RIO CRESPO";"Rio Crespo";"RO";1;-62,7900744846836;-9,6452115631085;419,26;0,5783;19271,975;0,712;502;0,7;2;3316;0,211098;1,394422
"1100288";"110028";1100288;110028;"ROLIM DE MOURA";"Rolim de Moura";"RO";1;-61,7715438008758;-11,7325566159911;632,16;0,5401;302701,656;0,753;30376;874,3;6235;50648;17,262281;28,782592
"1100296";"110029";1100296;110029;"SANTA LUZIA D'OESTE";"Santa Luzia D'Oeste";"RO";1;-61,7010906020532;-12,0269677886539;470,99;0,4972;51825,996;0,679;2321;58,9;469;8886;6,628404;25,376993
"1100304";"110030";1100304;110030;"VILHENA";"Vilhena";"RO";1;-60,2525050307099;-12,0878385432884;759,55;0,509;508257,064;0,771;76199;NA;3597;76202;NA;NA
"1100320";"110032";1100320;110032;"SO MIGUEL DO GUAPOR";"So Miguel do Guapor";"RO";1;-62,9335437935654;-12,1345026749549;431,45;0,6308;93663,513;0,669;2639;79;571;21828;3,619205;29,935582
"1100338";"110033";1100338;110033;"NOVA MAMOR";"Nova Mamor";"RO";1;-64,6291745788555;-10,3821837781873;366,91;0,5357;92172,813;0,659;1961;0,05;2;22546;0,00221769;0,0254972
"1100346";"110034";1100346;110034;"ALVORADA D'OESTE";"Alvorada D'Oeste";"RO";1;-62,5449922369012;-11,3114209660293;465;0,5355;87686,047;0,694;8824;138,56;NA;16853;8,221682;15,702629
"1100379";"110037";1100379;110037;"ALTO ALEGRE DOS PARECIS";"Alto Alegre dos Parecis";"RO";1;-61,880807424457;-12,5937360825348;332,96;0,5491;59575,567;0,674;1460;NA;116;12816;NA;NA
"1100403";"110040";1100403;110040;"ALTO PARASO";"Alto Paraso";"RO";1;-63,3943222505767;-9,64931030420162;494,17;0,5417;62433,768;0,715;1264;0,7;24;17135;0,0408521;0,553797
"1100452";"110045";1100452;110045;"BURITIS";"Buritis";"";1;-63,9411627317761;-10,0521152955599;442,48;0,5017;NA;NA;NA;NA;NA;NA;NA;NA
"1100502";"110050";1100502;110050;"NOVO HORIZONTE DO OESTE";"Novo Horizonte do Oeste";"RO";1;-62,083201966348;-11,6810939115491;331,53;0,5214;55142,307;0,707;1685;NA;61;10240;NA;NA
"1100601";"110060";1100601;110060;"CACAULNDIA";"Cacaulndia";"RO";1;-62,9872612864011;-10,3316028108355;497,18;0,5579;34223,328;0,713;712;NA;NA;5736;NA;NA
"1100700";"110070";1100700;110070;"CAMPO NOVO DE RONDNIA";"Campo Novo de Rondnia";"RO";1;-63,7997164660056;-10,4849339755135;505,42;0,6705;49885,72;0,697;3371;NA;NA;12665;NA;NA
"1100809";"110080";1100809;110080;"CANDEIAS DO JAMARI";"Candeias do Jamari";"RO";1;-63,3256206264916;-8,886993889566;456,43;0,4762;101579,641;0,671;10372;329,2;2556;19779;16,643915;31,739298
"1100908";"110090";1100908;110090;"CASTANHEIRAS";"Castanheiras";"RO";1;-61,8800697923265;-11,4708022619389;455,51;0,4996;23529,35;0,702;739;NA;NA;3575;NA;NA
"1100924";"110092";1100924;110092;"CHUPINGUAIA";"Chupinguaia";"";1;-60,8983840454805;-12,5373282375999;479,27;0,4752;NA;NA;NA;NA;NA;NA;NA;NA
"1100940";"110094";1100940;110094;"CUJUBIM";"Cujubim";"RO";1;-62,5653358422748;-9,17109363351087;484,24;0,525;56881,457;0,695;2068;8,2;80;15854;0,51722;3,965184
"1101005";"110100";1101005;110100;"GOVERNADOR JORGE TEIXEIRA";"Governador Jorge Teixeira";"";1;-63,1840121378934;-10,7480293453704;387,17;0,5571;NA;NA;NA;NA;NA;NA;NA;NA
"1101104";"110110";1101104;110110;"ITAPU DO OESTE";"Itapu do Oeste";"RO";1;-63,0449412856828;-9,17020967854528;409,75;0,4771;47420,926;0,702;5222;NA;NA;8566;NA;NA
