"id","idade","ano_de_ingresso","ca","cr","turno","renda","municipio_de_residencia"
1,21,2016,2.92,2.92,"Noturno","De R$ 4.000,01 a R$ 5.000,00","São Caetano do Sul - SP"
2,19,2019,4,4,"Noturno","De R$ 750,01 a R$ 1.500,00","Diadema - SP"
3,21,2019,NA,NA,"Matutino","De R$ 7.000,01 a R$ 10.000,00","São Paulo - SP"
4,22,2015,2.6,2.58,"Matutino","De R$ 2.250,01 a R$ 3.000,00","Santo André - SP"
5,31,2018,3.2,3.2,"Noturno","Até R$ 750,00","Santo André - SP"
6,24,2015,3.36,3.29,"Noturno","De R$ 750,01 a R$ 1.500,00","São Caetano do Sul - SP"
7,20,2019,NA,3,"Matutino","De R$ 750,01 a R$ 1.500,00","São Paulo - SP"
8,19,2018,2.92,2.92,"Matutino","De R$ 3.000,01 a R$ 4.000,00","Santo André - SP"
9,18,2018,3.22,3.22,"Matutino","De R$ 1.500,01 a R$ 2.250,00","São Paulo - SP"
10,19,2019,NA,NA,"Matutino","Até R$ 750,00","São Paulo - SP"
11,19,2019,NA,3,"Matutino","De R$ 4.000,01 a R$ 5.000,00","Santo André - SP"
12,28,2014,2.46,2.25,"Noturno","De R$ 3.000,01 a R$ 4.000,00","Santo André - SP"
13,19,2019,NA,3.4,"Noturno","De R$ 1.500,01 a R$ 2.250,00","São Paulo - SP"
14,22,2018,3.72,3.72,"Matutino","Prefiro não responder","São Bernardo do Campo - SP"
15,21,2017,3.35,3.35,"Matutino","De R$ 2.250,01 a R$ 3.000,00","Mauá - SP"
16,20,2019,NA,4,"Noturno","Até R$ 750,00","São Paulo - SP"
17,25,2015,3.28,3.21,"Noturno","Prefiro não responder","Santo André - SP"
18,22,2014,2.66,2.45,"Matutino","De R$ 3.000,01 a R$ 4.000,00","São Paulo - SP"
19,18,2019,3.33,3.33,"Noturno","De R$ 750,01 a R$ 1.500,00","Santo André - SP"
20,30,2017,3,3,"Noturno","De R$ 1.500,01 a R$ 2.250,00","São Paulo - SP"
21,23,2016,3.44,3.44,"Matutino","De R$ 3.000,01 a R$ 4.000,00","São Paulo - SP"
22,22,2018,2.9,2.9,"Noturno","De R$ 750,01 a R$ 1.500,00","São Paulo - SP"
23,23,2015,NA,NA,"Noturno","Até R$ 750,00","São Bernardo do Campo - SP"
24,22,2019,2.57,2.57,"Matutino","De R$ 5.000,01 a R$ 7.000,00","Santo André - SP"
25,27,2016,1.7,1.4,"Noturno","De R$ 750,01 a R$ 1.500,00","São Bernardo do Campo - SP"
26,25,2015,3.39,3.34,"Matutino","Prefiro não responder","Santo André - SP"
27,18,2019,3.78,3.78,"Matutino","De R$ 4.000,01 a R$ 5.000,00","São Paulo - SP"
28,22,2017,3.5,3.5,"Matutino","Prefiro não responder","São Paulo - SP"
29,22,2018,2.95,2.95,"Matutino","De R$ 1.500,01 a R$ 2.250,00","São Bernardo do Campo - SP"
30,26,2016,NA,NA,"Noturno","De R$ 4.000,01 a R$ 5.000,00","São Caetano do Sul - SP"
31,19,2019,NA,NA,"Noturno","De R$ 750,01 a R$ 1.500,00","Santo André - SP"
32,25,2016,3.21,3.14,"Noturno","De R$ 750,01 a R$ 1.500,00","Ribeirão Pires - SP"
33,19,2019,0,0,"Matutino","De R$ 750,01 a R$ 1.500,00","São Paulo - SP"
34,20,2019,3.55,3.55,"Matutino","Prefiro não responder","São Paulo - SP"
35,24,2017,3.09,3.09,"Noturno","De R$ 750,01 a R$ 1.500,00","Mauá - SP"
36,29,2019,NA,NA,"Noturno","De R$ 1.500,01 a R$ 2.250,00","São Bernardo do Campo - SP"
37,22,2017,3.36,3.36,"Matutino","De R$ 750,01 a R$ 1.500,00","São Paulo - SP"
38,22,2015,3.4,3.38,"Noturno","Prefiro não responder","São Bernardo do Campo - SP"
39,22,2015,2.2,2.2,"Noturno","De R$ 4.000,01 a R$ 5.000,00","Diadema - SP"
40,23,2017,2.36,2.36,"Noturno","De R$ 750,01 a R$ 1.500,00","São Paulo - SP"
41,37,2018,3.32,3.32,"Noturno","De R$ 5.000,01 a R$ 7.000,00","Outro município da Baixada Santista"
42,21,2018,NA,NA,"Noturno","Prefiro não responder","São Bernardo do Campo - SP"
43,61,2016,NA,NA,"Noturno","De R$ 5.000,01 a R$ 7.000,00","São Caetano do Sul - SP"
44,18,2019,3.55,3.55,"Matutino","De R$ 7.000,01 a R$ 10.000,00","São Bernardo do Campo - SP"
45,26,2016,2.6,2.4,"Noturno","De R$ 1.500,01 a R$ 2.250,00","São Paulo - SP"
46,18,2019,3.11,3.11,"Noturno","Prefiro não responder","São Bernardo do Campo - SP"
47,21,2016,1.5,1.5,"Noturno","De R$ 750,01 a R$ 1.500,00","São Paulo - SP"
48,23,2015,3.17,3.12,"Noturno","De R$ 2.250,01 a R$ 3.000,00","Diadema - SP"
49,20,2017,1.88,1.88,"Matutino","De R$ 750,01 a R$ 1.500,00","São Paulo - SP"
50,23,2015,2.8,2.6,"Matutino","De R$ 750,01 a R$ 1.500,00","São Paulo - SP"
51,20,2017,3.39,3.39,"Matutino","De R$ 7.000,01 a R$ 10.000,00","São Paulo - SP"
52,25,2013,2.25,1.98,"Noturno","De R$ 4.000,01 a R$ 5.000,00","Santo André - SP"
53,20,2019,0,0,"Matutino","De R$ 7.000,01 a R$ 10.000,00","São Caetano do Sul - SP"
54,21,2017,3.02,2.92,"Matutino","De R$ 3.000,01 a R$ 4.000,00","Santo André - SP"
