ID_IBGE;UF;REGIAO;DOMICIL;REDE
3548807;SP;3;  50492;  50472
4214904;SC;4;   1312;    412
3303302;RJ;3; 169237; 164768
3205309;ES;3; 108515; 107715
3547304;SP;3;  31610;  28728
4205407;SC;4; 147437; 137984
3144805;MG;3;  24203;  22436
4314902;RS;4; 508456; 505149
5300108;DF;5; 774021; 736148
3548500;SP;3; 144600; 143915
4321634;RS;4;    947;    626
4202008;SC;4;  39265;  37827
3500600;SP;3;    990;    989
3556206;SP;3;  33633;  30503
4300877;NA;4;   1688;     19
4218509;SC;4;   2084;   1472
5108956;NA;5;   2496;     42
4213906;SC;4;    535;    239
4106902;PR;4; 575899; 570866
1101492;NA;1;   4728;      1
4309258;RS;4;    531;    357
4313060;NA;4;   5917;    267
4301073;RS;4;    708;     65
5101852;NA;5;   1536;     22
1100452;NA;1;   9476;     32
3302700;RJ;3;  42810;   8112
1101005;NA;1;   3007;     15
2501351;NA;2;   1042;      1
4204756;SC;4;    551;    164
1508159;NA;1;  11252;     96
3546207;SP;3;   1302;    952
2205953;NA;2;   2203;      4
2516755;NA;2;    763;      1
5107578;NA;5;    970;     18
3556701;SP;3;  19376;  18597
3106200;MG;3; 762075; 759891
4210001;SC;4;   3072;    788
4304804;RS;4;   8439;   7601
1508050;NA;1;   4027;     50
2500536;NA;2;   1565;      7
2501534;NA;2;   1300;      1
1100403;RO;1;   5071;    307
4313003;RS;4;   1050;    817
4310462;RS;4;    648;    397
4305447;RS;4;   1500;     85
1503044;NA;1;   4841;     84
2905909;NA;2;   7613;     91
1101807;RO;1;   2432;    125
2616183;PE;2;   2310;     48
3304557;RJ;3;2144445;2111537
1505486;NA;1;  10041;    233
4201901;SC;4;   1733;    372
5106315;NA;5;    598;     33
3550308;SP;3;3574286;3541754
4320552;RS;4;   2012;    348
5108600;MT;5;   6076;    846
3525904;SP;3; 118243; 111820
2202091;PI;2;   1541;     54
1504976;NA;1;   3778;    170
1100320;RO;1;   6391;    470
4204194;SC;4;    836;     80
1507300;PA;1;  22357;   1413
1100601;RO;1;   1692;    160
2206050;NA;2;   1637;     70
1503705;PA;1;  12568;    558
1100338;RO;1;   6377;    425
1506708;NA;1;  13832;    793
1100262;RO;1;    997;     81
1504950;NA;1;   4674;    219
5103379;NA;5;   4297;    310
2208650;NA;2;   2191;    106
4300059;RS;4;   1165;    556
2905156;BA;2;   3211;    173
1100940;RO;1;   4591;    479
1100379;RO;1;   3696;    257
1101559;RO;1;   1475;    145
1101500;RO;1;   3357;    320
4200903;SC;4;   1626;    227
1505650;NA;1;   5564;    340
2209559;PI;2;   1230;     76
4209805;SC;4;   1033;    222
1505635;NA;1;   3495;    226
4308607;RS;4;  10147;   8737
2110278;NA;2;   2597;    167
4301750;RS;4;   2354;    237
1500859;NA;1;   5075;    374
2311959;NA;2;   3930;    282
4219408;SC;4;   1081;    264
2110807;MA;2;   1212;     89
1500701;PA;1;   4853;    365
1101435;RO;1;   2100;    195
3519055;NA;3;   3333;   2271
1505064;PA;1;  15139;   1256
1600501;AP;1;   4643;    704
1101609;RO;1;   3068;    316
3136900;MG;3;   2819;   1428
4209003;SC;4;   9069;   8270
1503093;NA;1;   7840;    709
4202131;SC;4;   1768;    190
2903508;BA;2;   4359;    394
4200309;SC;4;   1510;    575
1101302;RO;1;   3515;    510
2108256;NA;2;   5315;    476
1508407;PA;1;  11438;   1637
4214102;SC;4;    733;    258
2109809;MA;2;   8812;    842
3509502;SP;3; 348268; 341754
4316733;NA;4;    532;    233
2106359;NA;2;   1759;    176
1503606;PA;1;  23581;   3141
1300144;NA;1;   4606;    566
1100072;RO;1;   2649;    344
5208707;GO;5; 422710; 392987
1600105;AP;1;   1783;    218
4200606;SC;4;   1690;    447
1504505;NA;1;   4049;    449
2211605;NA;2;    935;    106
1301159;AM;1;   5758;    648
2501575;PB;2;   2421;    278
1101757;RO;1;   2806;    401
3543402;SP;3; 195338; 192930
4217105;SC;4;    980;    339
4304671;RS;4;   1275;    809
4215604;SC;4;    601;    160
2202083;PI;2;   1819;    230
2203453;NA;2;   2557;    319
1100502;RO;1;   2983;    407
4215901;SC;4;    974;    265
4217709;SC;4;   8560;   2342
1304237;NA;1;   2795;    364
2514107;NA;2;   1445;    189
3547809;SP;3; 215617; 210459
1502756;NA;1;   6288;    841
4321352;RS;4;   1963;    404
1200302;AC;1;   7037;    950
1506559;PA;1;   4645;    628
4215679;SC;4;   2501;    393
1101708;RO;1;   3920;    611
4320859;RS;4;   1455;    320
4217501;SC;4;   5452;   3763
2102374;NA;2;   1770;    259
4300901;RS;4;   2164;   1383
1100205;RO;1; 116863;  43954
4215752;SC;4;    788;    145
1500347;NA;1;   5812;    861
4210605;NA;4;   4493;   1603
1502509;NA;1;   4308;    639
1500602;PA;1;  26427;   5002
1100296;RO;1;   2746;    523
1100080;RO;1;   3696;    609
4201653;NA;4;    629;    167
4323606;NA;4;    472;    393
4216354;SC;4;   1016;    274
2108058;MA;2;   2926;    457
4216404;SC;4;   2335;    510
2506251;PB;2;   2229;    351
4312500;RS;4;   4128;   1013
4214300;SC;4;    931;    320
2404101;NA;2;    558;     90
2200053;PI;2;   1877;    298
4314803;RS;4;  10127;   2919
4202404;SC;4; 101087;  94096
1101203;RO;1;   2925;    552
2514552;NA;2;   1098;    176
1503309;PA;1;  12001;   1925
2109403;MA;2;   2981;    494
2509339;PB;2;   1136;    185
4312377;NA;4;    988;    199
4305108;RS;4; 146830; 139286
4219200;SC;4;   1932;    591
4201208;SC;4;   2273;   1043
2201929;PI;2;   1518;    259
4212700;SC;4;   1910;    639
3520103;SP;3;   8993;   8366
2302206;CE;2;  14079;   2499
4218202;SC;4;  11648;   9897
2305266;NA;2;   3444;    596
1100700;RO;1;   3637;    799
3536802;SP;3;   1831;    416
4219606;SC;4;   1179;    567
5105507;MT;5;   4010;    816
1506138;NA;1;  19881;   4519
5102694;NA;5;   1407;    270
1506161;NA;1;   5155;   1092
2708808;AL;2;   8468;   1531
1600535;AP;1;   4123;    791
4210209;SC;4;   1078;    379
1100114;RO;1;  15910;   3910
4300034;RS;4;   1397;    386
2603926;NA;2;   2615;    490
3205200;ES;3; 134467; 132635
2301000;CE;2;  19671;   3874
